confidence,frame,timestamp,pose_Rx,pose_Ry,pose_Rz,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45,AU61,AU62,AU63,AU64
0.98,0,0.0,0.03440381591575822,-0.0077791495973275546,0.2679608625015564,0.09474818221145605,0.0,0.052607939458133086,0.0,0.20267918254277226,0.49321698980987644,0.03716898385658813,0.15664565039790318,0.2766111145525698,0.23988956535984252,0.05521899789239525,0.06388286623773728,0.0370927929284299,0.04973575968767551,0.0,0.061588033541544004,0.11057851476777217,0.06062383716152216,0.024495240613114092,0.26585157995143893,0.0
0.98,1,0.04,0.040786488297750154,-0.01004899162653659,0.18928579806159726,0.15590605081696965,0.003499320087587727,0.08683213128480123,0.0,0.17825850751651204,0.46362603661464835,0.06902441558217617,0.13724384089518604,0.2803451222800691,0.25652579698599143,0.04680845388660961,0.08044084493791037,0.06038177696725622,0.028693090828659052,0.0020995920525526362,0.1158516184491843,0.13160979503065431,0.035370475005810455,0.04322222117537105,0.29897208266549946,0.0
0.98,2,0.08,0.04763006387323445,-0.010502738468757225,0.12035887603054805,0.21480620379166596,0.006224593312018546,0.11215876337782478,0.0,0.15319835610893065,0.4278379613121325,0.09759023642638989,0.12169129802761053,0.28675249050982793,0.2743811553264162,0.03687139565799285,0.10026231915739674,0.07921911999114915,0.012562509427005122,0.0037347559872111277,0.15951186890255137,0.11089617963995121,0.015703136783756403,0.056407080266784655,0.3091481485126137,0.0
0.98,3,0.12,0.05452744930906681,-0.010250457296186599,0.06054006550119687,0.25165198955712037,0.004847718145701073,0.12289733217343812,0.0,0.13132443293260535,0.39716672417184457,0.1160805343976929,0.11359321671849953,0.29365721310694676,0.28497253514656873,0.022688565303535014,0.12586726074680168,0.09248992945410654,0.0,0.00640795097500837,0.19351450614472726,0.0863660315432212,0.0,0.06702539086062247,0.3070177147340265,0.0
0.98,4,0.16,0.06074266801731563,-0.009315509303631325,0.009128521014399354,0.2608127973561443,0.0037754066879814546,0.1131980797210333,0.0,0.11564166305272869,0.3652115707761329,0.1174225809037527,0.10955654549018534,0.2973375554705085,0.2871072667368491,0.01767707445823585,0.1439806869043877,0.08358065818170997,0.0,0.006390245272254782,0.18404139896048216,0.02658237077829421,0.0,0.06873316809919774,0.2890094666765485,0.0
0.98,5,0.2,0.06494579896041136,-0.008371500085321462,-0.03590392212824153,0.2534494341920712,0.0016529617667112003,0.10380216784700089,0.0,0.10563269972576196,0.3364412824342523,0.11220885899920223,0.10309839553918153,0.2964143579637794,0.27566451592144625,0.012704391745650464,0.1548057154928246,0.07380278728483199,0.0,0.007003787341139484,0.17364668139681197,0.00396710824010688,0.0,0.07124171516801818,0.27177904085044485,0.0
0.98,6,0.24,0.06913130911196617,-0.007773258720952583,-0.07501727206224458,0.24525258547398182,0.0,0.09375770098522787,0.0,0.09875517346689543,0.3097560404727606,0.10266189627381471,0.0941270647787023,0.2937081790867899,0.25865185738263924,0.008904195288586847,0.15200576660379514,0.06733003622494704,0.0,0.009581206437386774,0.16293674399854624,0.0,0.0,0.07580989680946036,0.26380301534802086,0.0
0.98,7,0.28,0.07307670427946802,-0.00471960354886159,-0.0781537400443478,0.24037379939230824,0.0,0.08876718374800817,0.0,0.09557107541691215,0.29420259957644784,0.09371458607556099,0.08725258547398179,0.29178553770845606,0.2394336077499558,0.006347130362587921,0.14710544291292849,0.06910275995586102,0.0,0.012473299315561738,0.16579366064641185,0.0,0.0,0.08098852750099163,0.2608458666034217,0.0
0.98,8,0.32,0.07510149814380189,-0.0030767493025302115,-0.0802427863171782,0.23550446725355179,0.0,0.08145377766160594,0.0,0.09375129399645682,0.28123743610942387,0.08630401545292106,0.08447339144486087,0.29297523905078104,0.2300254646436308,0.003840755028534822,0.14395626565250202,0.0711433552199138,0.0,0.01409833222974561,0.17361033967600364,0.0,0.0,0.08412051959598255,0.2599425648805044,0.0
0.98,9,0.36,0.07717647383952754,-0.0021876116811288425,-0.08159094785087877,0.23255715705529803,0.0,0.07583062400806018,0.0,0.09144924993347302,0.27374747783545417,0.08277731476848278,0.07843976717069268,0.2948591089889827,0.2276301088979936,0.004760776759237116,0.15056204878050952,0.07803415158270015,0.0,0.011349657880920376,0.18415462511403316,0.0,0.0,0.08652345112540318,0.26100506551023733,0.0
0.98,10,0.4,0.07866249046742972,-0.0018615473661210658,-0.0820978228089231,0.22834713036258794,0.0,0.06853945135254447,0.0,0.09157107541691217,0.2752030635755439,0.08367510306829859,0.07528556936317403,0.300083054043307,0.2308812502905701,0.00853421205728131,0.1636952729799487,0.08008632194863284,0.0,0.007036863359630844,0.1917391915860449,0.0,0.0,0.08762245933120186,0.2623112066332762,0.0
0.98,11,0.44,0.08064865067861368,-0.0020201247372382855,-0.08231981922871279,0.2251408910110173,0.0,0.06356094439643753,0.0,0.09255075006652701,0.2824903855804842,0.08400443559883379,0.07231414647339567,0.30529372899371143,0.23738762562462323,0.011987897589588115,0.17270864308588602,0.08566613974133187,0.0,0.0038629884594213277,0.19702592864272686,0.0,0.0,0.08678490779705257,0.26310723114577195,0.0
