frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
23,0.92,0.98,1,0.071,0.267,0.071,-0.009000000000000001,-0.048,0.144,0.022,0.064,0.0,0.184,0.306,0.0,0.18,0.35,0.46799999999999997,0.012,0.198,0.1,0.0,0.0,0.08399999999999999,0.0
24,0.96,0.98,1,0.078,0.264,0.073,-0.009000000000000001,-0.049,0.144,0.022,0.057999999999999996,0.0,0.18,0.29,0.0,0.16599999999999998,0.344,0.45199999999999996,0.012,0.192,0.094,0.0,0.0,0.09,0.0
25,1.0,0.98,1,0.08,0.255,0.066,-0.012,-0.049,0.13999999999999999,0.014000000000000002,0.054000000000000006,0.0,0.178,0.3,0.0,0.16999999999999998,0.33799999999999997,0.44800000000000006,0.012,0.198,0.098,0.0,0.0,0.086,0.0
26,1.04,0.98,1,0.08,0.25,0.066,-0.012,-0.049,0.144,0.002,0.072,0.0,0.184,0.36,0.004,0.182,0.348,0.466,0.012,0.20600000000000002,0.11399999999999999,0.0,0.0,0.088,0.118
27,1.08,0.98,1,0.073,0.337,0.07,-0.011000000000000001,-0.05,0.176,0.032,0.08399999999999999,0.0,0.188,0.324,0.004,0.192,0.352,0.49800000000000005,0.006,0.21600000000000003,0.156,0.0,0.0,0.096,0.33399999999999996
28,1.12,0.98,1,0.046,0.387,0.055,-0.018000000000000002,-0.045,0.20800000000000002,0.032,0.10800000000000001,0.0,0.192,0.294,0.004,0.196,0.354,0.532,0.0,0.21800000000000003,0.156,0.0,0.0,0.10400000000000001,0.564
29,1.16,0.98,1,0.064,0.376,0.054000000000000006,-0.018000000000000002,-0.040999999999999995,0.20800000000000002,0.032,0.118,0.0,0.19,0.238,0.0,0.202,0.352,0.546,0.0,0.20800000000000002,0.146,0.0,0.0,0.10800000000000001,0.632
30,1.2,0.98,1,0.071,0.36,0.057999999999999996,-0.012,-0.036000000000000004,0.184,0.02,0.122,0.0,0.196,0.314,0.0,0.202,0.348,0.534,0.008,0.196,0.11200000000000002,0.0,0.0,0.09,0.49400000000000005
31,1.24,0.98,1,0.045,0.336,0.069,-0.006,-0.027000000000000003,0.148,0.02,0.094,0.0,0.184,0.344,0.0,0.194,0.346,0.502,0.008,0.188,0.096,0.0,0.0,0.054000000000000006,0.266
32,1.28,0.98,1,0.046,0.267,0.068,0.006,0.001,0.13,0.026000000000000002,0.064,0.0,0.176,0.36,0.0,0.176,0.33799999999999997,0.46399999999999997,0.01,0.182,0.086,0.0,0.0,0.022,0.078
33,1.32,0.98,1,0.037000000000000005,0.273,0.065,0.01,0.031,0.088,0.01,0.028000000000000004,0.0,0.154,0.31,0.0,0.158,0.33599999999999997,0.43600000000000005,0.012,0.182,0.054000000000000006,0.0,0.0,0.0,0.0
34,1.36,0.98,1,0.027999999999999997,0.281,0.059000000000000004,0.01,0.061,0.062,0.01,0.024,0.0,0.154,0.32,0.0,0.152,0.33199999999999996,0.422,0.026000000000000002,0.184,0.026000000000000002,0.0,0.0,0.0,0.0
35,1.4,0.98,1,0.022000000000000002,0.281,0.054000000000000006,0.011000000000000001,0.091,0.028000000000000004,0.0,0.008,0.0,0.146,0.34199999999999997,0.0,0.142,0.32999999999999996,0.40599999999999997,0.034,0.182,0.0,0.0,0.0,0.0,0.006
36,1.44,0.98,1,-0.001,0.278,0.040999999999999995,0.013000000000000001,0.14300000000000002,0.018,0.0,0.008,0.0,0.152,0.362,0.0,0.132,0.318,0.378,0.041999999999999996,0.16799999999999998,0.0,0.0,0.0,0.0,0.006
37,1.48,0.98,1,-0.013000000000000001,0.268,0.031,0.005,0.182,0.002,0.0,0.0,0.0,0.154,0.364,0.0,0.122,0.306,0.354,0.041999999999999996,0.144,0.0,0.0,0.0,0.0,0.006
38,1.52,0.98,1,-0.016,0.258,0.026000000000000002,0.003,0.218,0.0,0.0,0.0,0.0,0.154,0.344,0.0,0.11000000000000001,0.294,0.32999999999999996,0.048,0.134,0.0,0.002,0.004,0.0,0.0
39,1.56,0.98,1,-0.022000000000000002,0.251,0.02,0.003,0.253,0.0,0.0,0.0,0.0,0.158,0.362,0.0,0.11399999999999999,0.284,0.31,0.06,0.11599999999999999,0.0,0.004,0.024,0.0,0.0
40,1.6,0.98,1,-0.032,0.242,0.013000000000000001,-0.001,0.287,0.004,0.0,0.0,0.0,0.16599999999999998,0.396,0.0,0.12,0.27,0.274,0.072,0.098,0.0,0.004,0.036,0.0,0.0
41,1.64,0.98,1,-0.043,0.23399999999999999,0.01,-0.006,0.325,0.004,0.0,0.0,0.0,0.182,0.42000000000000004,0.0,0.13799999999999998,0.254,0.25,0.076,0.064,0.0,0.002,0.04,0.0,0.0
42,1.68,0.98,1,-0.053,0.213,0.01,-0.011000000000000001,0.34,0.006,0.0,0.0,0.0,0.192,0.438,0.0,0.148,0.25,0.242,0.078,0.046,0.0,0.006,0.034,0.0,0.0
43,1.72,0.98,1,-0.055999999999999994,0.204,0.011000000000000001,-0.012,0.34700000000000003,0.004,0.0,0.0,0.0,0.192,0.44400000000000006,0.0,0.156,0.25,0.25,0.074,0.048,0.0,0.008,0.041999999999999996,0.0,0.0
44,1.76,0.98,1,-0.061,0.2,0.012,-0.012,0.353,0.004,0.0,0.0,0.0,0.192,0.46399999999999997,0.0,0.144,0.252,0.24,0.074,0.062,0.0,0.01,0.06,0.0,0.0
45,1.8,0.98,1,-0.066,0.19699999999999998,0.012,-0.011000000000000001,0.359,0.004,0.0,0.0,0.0,0.20400000000000001,0.47000000000000003,0.0,0.144,0.246,0.24,0.08,0.076,0.0,0.006,0.064,0.0,0.0
46,1.84,0.98,1,-0.076,0.19899999999999998,0.018000000000000002,-0.01,0.369,0.008,0.0,0.0,0.0,0.21600000000000003,0.47400000000000003,0.0,0.136,0.242,0.24,0.086,0.098,0.0,0.01,0.064,0.0,0.0
47,1.88,0.98,1,-0.079,0.19899999999999998,0.019,-0.011000000000000001,0.373,0.014000000000000002,0.0,0.0,0.0,0.22599999999999998,0.47000000000000003,0.0,0.142,0.24,0.25,0.092,0.11000000000000001,0.0,0.016,0.052000000000000005,0.0,0.0
48,1.92,0.98,1,-0.08199999999999999,0.19899999999999998,0.023,-0.01,0.374,0.022,0.0,0.0,0.0,0.23199999999999998,0.488,0.0,0.13,0.246,0.242,0.08199999999999999,0.10400000000000001,0.0,0.018,0.052000000000000005,0.0,0.0
49,1.96,0.98,1,-0.081,0.19699999999999998,0.021,-0.008,0.373,0.018,0.0,0.0,0.0,0.236,0.49400000000000005,0.0,0.134,0.256,0.236,0.076,0.088,0.0,0.024,0.04,0.0,0.0
50,2.0,0.98,1,-0.081,0.195,0.02,-0.006,0.371,0.016,0.0,0.0,0.0,0.246,0.508,0.0,0.142,0.264,0.242,0.076,0.09,0.0,0.018,0.036,0.0,0.0
51,2.04,0.98,1,-0.083,0.19399999999999998,0.02,-0.002,0.36700000000000005,0.008,0.0,0.0,0.0,0.25,0.536,0.0,0.148,0.266,0.25,0.08,0.11399999999999999,0.0,0.018,0.034,0.0,0.0
