frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
34,0.586,0.98,1,-0.067,0.169,0.128,0.093,-0.071,0,0,0.04,0,0,0,0,0,0,0.242,0.024,0.218,0,0,0,0,0
35,0.603,0.98,1,-0.067,0.17,0.128,0.095,-0.071,0,0,0.058,0,0,0,0,0,0,0.254,0.01,0.208,0,0,0,0,0
36,0.62,0.98,1,-0.069,0.162,0.126,0.1,-0.07,0,0,0.052,0,0,0,0,0,0,0.24,0.006,0.19,0.006,0,0,0,0
37,0.637,0.98,1,-0.071,0.162,0.124,0.103,-0.069,0,0,0.056,0,0,0,0,0,0,0.206,0.042,0.17,0.006,0,0,0,0
38,0.655,0.98,1,-0.069,0.163,0.125,0.103,-0.068,0,0,0.044,0,0,0,0,0,0,0.194,0.054,0.162,0.006,0,0,0,0
39,0.672,0.98,1,-0.072,0.16,0.128,0.101,-0.067,0,0,0.05,0,0,0,0,0,0,0.19,0.062,0.172,0,0,0,0,0
40,0.689,0.98,1,-0.062,0.165,0.133,0.098,-0.065,0,0,0.044,0,0,0,0,0,0,0.214,0.032,0.202,0,0,0,0,0
41,0.706,0.98,1,-0.065,0.164,0.133,0.098,-0.065,0,0,0.034,0,0,0,0,0,0,0.218,0.022,0.228,0,0,0,0,0
42,0.724,0.98,1,-0.068,0.159,0.133,0.097,-0.063,0,0,0.026,0,0,0,0,0,0,0.214,0.01,0.242,0,0,0,0,0
43,0.741,0.98,1,-0.067,0.155,0.133,0.097,-0.062,0,0,0.026,0,0,0,0,0,0,0.18,0.01,0.242,0.006,0,0,0,0
44,0.758,0.98,1,-0.068,0.155,0.131,0.095,-0.062,0,0,0.026,0,0,0,0,0,0,0.152,0.022,0.242,0.008,0,0,0,0
45,0.775,0.98,1,-0.066,0.157,0.131,0.094,-0.063,0,0,0.024,0,0,0,0,0,0,0.134,0.026,0.236,0.008,0,0,0,0
46,0.792,0.98,1,-0.072,0.156,0.128,0.095,-0.062,0,0,0.022,0,0,0,0,0,0,0.134,0.034,0.246,0.002,0,0,0,0
47,0.81,0.98,1,-0.062,0.159,0.129,0.094,-0.063,0,0,0.02,0,0,0,0,0,0,0.15,0.044,0.256,0.002,0,0,0,0
48,0.827,0.98,1,-0.06,0.159,0.128,0.091,-0.065,0,0,0.012,0,0,0,0,0,0,0.14,0.052,0.278,0.002,0,0,0,0
49,0.844,0.98,1,-0.055,0.164,0.132,0.09,-0.067,0,0,0.006,0,0,0,0,0,0,0.138,0.052,0.294,0.002,0,0,0,0
50,0.861,0.98,1,-0.053,0.16,0.134,0.089,-0.068,0,0,0,0,0,0,0,0,0,0.128,0.044,0.318,0,0,0,0,0
51,0.879,0.98,1,-0.048,0.161,0.131,0.084,-0.068,0,0,0,0,0,0,0,0,0,0.144,0.032,0.34,0,0,0,0,0
52,0.896,0.98,1,-0.047,0.158,0.129,0.082,-0.07,0,0,0,0,0,0,0,0,0,0.162,0.036,0.354,0,0,0,0,0
53,0.913,0.98,1,-0.045,0.155,0.131,0.082,-0.07,0,0,0,0,0,0,0,0,0,0.172,0.05,0.36,0,0,0,0,0
54,0.93,0.98,1,-0.049,0.156,0.131,0.082,-0.071,0,0,0,0,0,0,0,0,0,0.178,0.096,0.36,0,0,0,0,0
55,0.947,0.98,1,-0.033,0.179,0.135,0.084,-0.071,0,0,0,0,0,0,0,0,0,0.174,0.116,0.368,0.002,0,0,0,0
56,0.965,0.98,1,-0.035,0.173,0.134,0.083,-0.071,0,0,0,0,0,0,0,0,0,0.172,0.114,0.364,0.002,0,0,0,0
57,0.982,0.98,1,-0.036,0.176,0.132,0.082,-0.07,0,0,0,0,0,0,0,0,0,0.164,0.078,0.372,0.002,0,0,0,0
58,0.999,0.98,1,-0.046,0.166,0.128,0.079,-0.067,0,0,0,0,0,0.006,0,0,0,0.18,0.05,0.378,0.004,0,0,0,0
59,1.016,0.98,1,-0.045,0.166,0.127,0.08,-0.068,0,0,0,0,0,0.008,0,0,0,0.172,0.034,0.38,0.004,0,0,0,0
60,1.034,0.98,1,-0.046,0.162,0.124,0.079,-0.067,0,0,0,0,0,0.012,0,0,0,0.184,0.024,0.37,0.004,0,0,0,0
61,1.051,0.98,1,-0.065,0.166,0.117,0.075,-0.066,0,0,0,0,0,0.01,0,0,0,0.174,0.02,0.368,0,0,0,0,0
62,1.068,0.98,1,-0.06,0.17,0.116,0.076,-0.066,0,0,0,0,0,0.01,0,0,0,0.18,0.026,0.376,0,0,0,0,0
63,1.085,0.98,1,-0.047,0.166,0.117,0.078,-0.068,0,0,0,0,0,0.004,0,0,0,0.172,0.058,0.382,0,0,0,0,0
64,1.103,0.98,1,-0.056,0.164,0.111,0.076,-0.068,0,0,0,0,0,0,0,0,0,0.172,0.082,0.368,0,0,0,0,0
65,1.12,0.98,1,-0.046,0.17,0.114,0.079,-0.069,0,0,0,0,0,0,0,0,0,0.15,0.098,0.348,0,0,0,0,0
