frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
24,0.96,0.98,1,0.087,0.272,0.078,-0.006,-0.078,0.22200000000000003,0.0,0.088,0.0,0.086,0.29,0.098,0.088,0.292,0.246,0.028000000000000004,0.142,0.08,0.0,0.046,0.202,0.0
25,1.0,0.98,1,0.08800000000000001,0.26899999999999996,0.077,-0.006999999999999999,-0.078,0.21200000000000002,0.0,0.09,0.0,0.09,0.27999999999999997,0.10400000000000001,0.078,0.294,0.248,0.026000000000000002,0.144,0.08199999999999999,0.0,0.028000000000000004,0.202,0.0
26,1.04,0.98,1,0.08800000000000001,0.264,0.08,-0.008,-0.076,0.21400000000000002,0.0,0.132,0.0,0.10800000000000001,0.33199999999999996,0.13,0.096,0.298,0.252,0.018,0.152,0.10800000000000001,0.0,0.012,0.21600000000000003,0.074
27,1.08,0.98,1,0.094,0.365,0.081,-0.01,-0.077,0.236,0.0,0.178,0.0,0.154,0.362,0.134,0.128,0.318,0.274,0.01,0.13999999999999999,0.128,0.0,0.008,0.266,0.282
28,1.12,0.98,1,0.078,0.449,0.083,-0.008,-0.078,0.26,0.0,0.22799999999999998,0.0,0.194,0.426,0.144,0.16,0.33199999999999996,0.282,0.0,0.134,0.132,0.0,0.02,0.292,0.48600000000000004
29,1.16,0.98,1,0.07,0.445,0.08,-0.006999999999999999,-0.07400000000000001,0.252,0.0,0.236,0.0,0.196,0.418,0.128,0.162,0.32999999999999996,0.27799999999999997,0.0,0.136,0.124,0.0,0.038,0.29,0.524
30,1.2,0.98,1,0.07,0.40299999999999997,0.068,-0.012,-0.065,0.22599999999999998,0.0,0.22599999999999998,0.0,0.16599999999999998,0.42000000000000004,0.142,0.15,0.308,0.25,0.0,0.172,0.124,0.0,0.03,0.23199999999999998,0.356
31,1.24,0.98,1,0.059000000000000004,0.36,0.075,-0.006,-0.057999999999999996,0.2,0.0,0.16399999999999998,0.0,0.12,0.39,0.136,0.11599999999999999,0.286,0.22999999999999998,0.004,0.176,0.10400000000000001,0.0,0.038,0.16799999999999998,0.15
32,1.28,0.98,1,0.047,0.27399999999999997,0.073,0.013000000000000001,-0.03,0.18,0.0,0.1,0.0,0.09,0.33399999999999996,0.12,0.09,0.272,0.22200000000000003,0.026000000000000002,0.16399999999999998,0.092,0.0,0.04,0.132,0.038
33,1.32,0.98,1,0.043,0.28,0.069,0.018000000000000002,-0.004,0.146,0.0,0.046,0.0,0.06,0.294,0.09,0.062,0.266,0.21400000000000002,0.052000000000000005,0.148,0.078,0.0,0.076,0.1,0.0
34,1.36,0.98,1,0.036000000000000004,0.287,0.064,0.02,0.025,0.124,0.0,0.036,0.0,0.052000000000000005,0.272,0.074,0.05600000000000001,0.262,0.21000000000000002,0.068,0.16399999999999998,0.086,0.0,0.09,0.094,0.0
35,1.4,0.98,1,0.033,0.289,0.059000000000000004,0.022000000000000002,0.054000000000000006,0.094,0.0,0.018,0.0,0.048,0.286,0.052000000000000005,0.048,0.252,0.192,0.046,0.176,0.066,0.0,0.11599999999999999,0.062,0.0
36,1.44,0.98,1,0.01,0.275,0.040999999999999995,0.024,0.10400000000000001,0.064,0.0,0.006,0.0,0.06,0.27799999999999997,0.032,0.05,0.246,0.178,0.02,0.186,0.06,0.0,0.11399999999999999,0.046,0.0
37,1.48,0.98,1,-0.006,0.276,0.037000000000000005,0.025,0.141,0.022,0.0,0.0,0.0,0.076,0.288,0.012,0.072,0.242,0.16399999999999998,0.002,0.172,0.038,0.002,0.12,0.03,0.0
38,1.52,0.98,1,-0.024,0.282,0.040999999999999995,0.032,0.182,0.006,0.0,0.0,0.0,0.094,0.288,0.002,0.08399999999999999,0.248,0.186,0.002,0.146,0.034,0.012,0.10800000000000001,0.057999999999999996,0.0
39,1.56,0.98,1,-0.035,0.264,0.027000000000000003,0.028999999999999998,0.22,0.0,0.0,0.0,0.0,0.11000000000000001,0.31,0.0,0.10600000000000001,0.248,0.202,0.002,0.134,0.016,0.024,0.096,0.054000000000000006,0.0
40,1.6,0.98,1,-0.042,0.261,0.017,0.025,0.254,0.004,0.0,0.0,0.0,0.122,0.366,0.0,0.11000000000000001,0.246,0.202,0.0,0.10400000000000001,0.008,0.036,0.06999999999999999,0.044,0.0
41,1.64,0.98,1,-0.06,0.245,0.003,0.015,0.297,0.018,0.0,0.0,0.0,0.148,0.43,0.006,0.13799999999999998,0.244,0.20600000000000002,0.0,0.08399999999999999,0.002,0.046,0.038,0.014000000000000002,0.0
42,1.68,0.98,1,-0.076,0.22399999999999998,-0.006,0.001,0.315,0.028000000000000004,0.0,0.0,0.0,0.16399999999999998,0.466,0.006,0.162,0.244,0.202,0.01,0.034,0.002,0.054000000000000006,0.012,0.004,0.0
43,1.72,0.98,1,-0.081,0.218,-0.006,-0.009000000000000001,0.33,0.048,0.0,0.0,0.0,0.178,0.442,0.008,0.176,0.238,0.236,0.01,0.024,0.002,0.064,0.0,0.004,0.0
44,1.76,0.98,1,-0.08,0.20800000000000002,-0.006,-0.013000000000000001,0.33899999999999997,0.05600000000000001,0.0,0.0,0.0,0.174,0.42000000000000004,0.012,0.18,0.238,0.242,0.01,0.01,0.0,0.066,0.0,0.004,0.0
45,1.8,0.98,1,-0.084,0.207,-0.002,-0.013999999999999999,0.349,0.064,0.0,0.0,0.0,0.174,0.41,0.012,0.18,0.244,0.258,0.0,0.01,0.0,0.074,0.0,0.004,0.0
46,1.84,0.98,1,-0.08800000000000001,0.205,0.003,-0.018000000000000002,0.36200000000000004,0.074,0.0,0.0,0.0,0.186,0.42400000000000004,0.01,0.202,0.26,0.25,0.006,0.0,0.0,0.072,0.0,0.002,0.0
47,1.88,0.98,1,-0.085,0.21100000000000002,0.009000000000000001,-0.02,0.36700000000000005,0.08199999999999999,0.0,0.0,0.0,0.198,0.43,0.004,0.21000000000000002,0.272,0.248,0.008,0.002,0.0,0.078,0.0,0.002,0.0
48,1.92,0.98,1,-0.087,0.209,0.013999999999999999,-0.019,0.37,0.094,0.0,0.0,0.0,0.21200000000000002,0.446,0.008,0.21000000000000002,0.266,0.268,0.016,0.002,0.0,0.08,0.0,0.002,0.0
49,1.96,0.98,1,-0.094,0.21100000000000002,0.016,-0.018000000000000002,0.371,0.096,0.0,0.004,0.0,0.21400000000000002,0.44000000000000006,0.008,0.21000000000000002,0.268,0.27999999999999997,0.032,0.002,0.0,0.08199999999999999,0.0,0.0,0.0
