frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
25,1.0,0.98,1,0.305,0.247,0.124,-0.28300000000000003,0.004,0.0,0.0,0.0,0.0,0.10800000000000001,0.24,0.1,0.03,0.21400000000000002,0.306,0.032,0.0,0.02,0.014000000000000002,0.122,0.0,0.038
26,1.04,0.98,1,0.309,0.255,0.128,-0.28300000000000003,0.005,0.0,0.0,0.0,0.0,0.10600000000000001,0.24,0.092,0.04,0.22400000000000003,0.32,0.05600000000000001,0.006,0.024,0.034,0.1,0.0,0.034
27,1.08,0.98,1,0.308,0.258,0.138,-0.285,0.006999999999999999,0.0,0.0,0.0,0.0,0.096,0.22400000000000003,0.08399999999999999,0.046,0.23199999999999998,0.32,0.078,0.02,0.03,0.052000000000000005,0.062,0.0,0.038
28,1.12,0.98,1,0.306,0.264,0.14300000000000002,-0.285,0.009000000000000001,0.0,0.0,0.0,0.0,0.09,0.21600000000000003,0.08399999999999999,0.062,0.236,0.33599999999999997,0.06999999999999999,0.022,0.032,0.06,0.044,0.0,0.038
29,1.16,0.98,1,0.308,0.263,0.146,-0.28,0.011000000000000001,0.0,0.0,0.0,0.0,0.088,0.202,0.09,0.06999999999999999,0.23199999999999998,0.32799999999999996,0.064,0.022,0.038,0.06,0.032,0.0,0.041999999999999996
30,1.2,0.98,1,0.301,0.268,0.156,-0.28,0.016,0.0,0.0,0.0,0.0,0.08399999999999999,0.198,0.09,0.076,0.236,0.33999999999999997,0.057999999999999996,0.02,0.046,0.062,0.028000000000000004,0.0,0.046
31,1.24,0.98,1,0.3,0.275,0.166,-0.278,0.022000000000000002,0.0,0.0,0.0,0.0,0.078,0.20800000000000002,0.076,0.086,0.238,0.33599999999999997,0.06,0.03,0.068,0.068,0.03,0.0,0.041999999999999996
32,1.28,0.98,1,0.293,0.27699999999999997,0.171,-0.275,0.024,0.0,0.0,0.0,0.0,0.078,0.21400000000000002,0.06,0.094,0.24,0.33399999999999996,0.064,0.03,0.08199999999999999,0.078,0.016,0.0,0.032
33,1.32,0.98,1,0.29600000000000004,0.289,0.192,-0.276,0.031,0.0,0.0,0.0,0.0,0.066,0.238,0.041999999999999996,0.10600000000000001,0.236,0.32799999999999996,0.062,0.044,0.08199999999999999,0.088,0.024,0.0,0.014000000000000002
34,1.36,0.98,1,0.293,0.3,0.20800000000000002,-0.275,0.038,0.0,0.0,0.0,0.0,0.057999999999999996,0.246,0.022,0.10200000000000001,0.22999999999999998,0.32599999999999996,0.066,0.057999999999999996,0.08399999999999999,0.088,0.026000000000000002,0.0,0.006
35,1.4,0.98,1,0.3,0.295,0.21600000000000003,-0.28,0.040999999999999995,0.0,0.0,0.0,0.0,0.044,0.248,0.004,0.08,0.22400000000000003,0.314,0.092,0.06,0.086,0.068,0.04,0.0,0.0
36,1.44,0.98,1,0.301,0.31,0.235,-0.284,0.049,0.01,0.0,0.0,0.0,0.028000000000000004,0.236,0.0,0.076,0.198,0.252,0.142,0.04,0.057999999999999996,0.034,0.076,0.0,0.0
