frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0,0.98,1,0.304,0.197,0.12,-0.35,0.005,0.364,0.006,0.136,0,0.152,0.442,0.1,0.454,0.308,0.372,0.066,0.412,0,0.044,0,0,0
1,0.017,0.98,1,0.299,0.221,0.136,-0.38,-0.013,0.326,0.056,0.138,0.032,0.182,0.448,0.072,0.404,0.292,0.386,0.142,0.39,0,0.014,0,0,0
2,0.034,0.98,1,0.331,0.224,0.135,-0.403,-0.019,0.3,0.074,0.15,0.032,0.2,0.458,0.066,0.354,0.268,0.376,0.172,0.36,0,0,0,0,0
3,0.052,0.98,1,0.332,0.217,0.139,-0.426,-0.021,0.284,0.084,0.166,0.022,0.198,0.474,0.078,0.326,0.244,0.36,0.174,0.33,0,0.002,0,0,0
4,0.069,0.98,1,0.353,0.216,0.136,-0.454,-0.023,0.304,0.106,0.182,0,0.184,0.504,0.102,0.284,0.22,0.372,0.106,0.322,0,0.02,0,0.012,0.02
5,0.086,0.98,1,0.338,0.223,0.129,-0.473,-0.024,0.332,0.152,0.192,0,0.152,0.526,0.116,0.25,0.192,0.384,0.064,0.346,0,0.04,0,0.018,0.042
6,0.103,0.98,1,0.372,0.208,0.109,-0.508,-0.031,0.372,0.19,0.22,0,0.124,0.57,0.116,0.218,0.152,0.354,0.052,0.35,0,0.066,0,0.018,0.062
7,0.121,0.98,1,0.395,0.179,0.075,-0.547,-0.036,0.39,0.198,0.25,0,0.108,0.604,0.094,0.224,0.116,0.304,0.038,0.344,0,0.078,0,0.006,0.068
8,0.138,0.98,1,0.418,0.153,0.046,-0.586,-0.036,0.386,0.164,0.302,0,0.104,0.622,0.082,0.246,0.092,0.226,0.026,0.34,0,0.094,0,0,0.102
9,0.155,0.98,1,0.409,0.154,0.043,-0.597,-0.037,0.372,0.114,0.346,0,0.102,0.612,0.066,0.26,0.072,0.206,0,0.374,0,0.098,0,0.002,0.154
10,0.172,0.98,1,0.408,0.152,0.043,-0.597,-0.041,0.37,0.088,0.374,0,0.094,0.62,0.068,0.248,0.048,0.212,0,0.4,0,0.086,0,0.02,0.198
11,0.189,0.98,1,0.391,0.157,0.049,-0.591,-0.045,0.38,0.09,0.39,0,0.088,0.63,0.056,0.238,0.036,0.25,0,0.4,0,0.07,0,0.02,0.218
12,0.207,0.98,1,0.369,0.158,0.058,-0.586,-0.049,0.404,0.122,0.404,0,0.084,0.608,0.05,0.232,0.032,0.252,0,0.386,0,0.058,0,0.018,0.228
13,0.224,0.98,1,0.389,0.175,0.06,-0.587,-0.051,0.418,0.148,0.418,0,0.092,0.572,0.064,0.236,0.04,0.264,0,0.382,0,0.052,0,0.01,0.234
14,0.241,0.98,1,0.379,0.176,0.062,-0.587,-0.055,0.42,0.162,0.416,0,0.092,0.55,0.07,0.242,0.038,0.272,0,0.384,0,0.046,0,0.026,0.25
15,0.258,0.98,1,0.373,0.178,0.063,-0.585,-0.057,0.408,0.136,0.41,0,0.092,0.548,0.078,0.246,0.04,0.3,0,0.388,0,0.052,0,0.048,0.262
16,0.276,0.98,1,0.358,0.163,0.06,-0.582,-0.059,0.402,0.124,0.402,0,0.088,0.552,0.07,0.242,0.03,0.306,0,0.368,0,0.062,0,0.052,0.284
17,0.293,0.98,1,0.364,0.167,0.056,-0.579,-0.064,0.416,0.132,0.404,0.01,0.088,0.562,0.064,0.226,0.028,0.302,0,0.36,0,0.078,0,0.054,0.272
